"fat" "food.energy" "carbohydrates" "protein" "cholesterol" "weight" "saturated.fat"
"1" 2 25 2 0 2 15 0.2
"2" 6 60 2 0 4 16 1
"3" 1 90 22 4 0 28.35 0.1
"4" 0 90 22 3 0 28.35 0.1
"5" 0 10 1 1 0 33 0
"6" 1 70 21 4 0 28.35 0.1
"7" 0 125 29 3 0 53 0
"8" 0 155 42 1 0 64 0
"9" 0 15 3 2 0 60 0.1
"10" 0 15 3 2 0 60 0
"11" 0 10 2 1 0 80 0
"12" 0 10 2 1 0 80 0
"13" 0 5 1 0 0 4.3 0
"14" 0 5 1 0 0 3.8 0
"15" 0 5 1 0 0 3 0
"16" 0 5 1 0 0 2.9 0
"17" 3 95 14 2 0 28 0.8
"18" 5 100 13 2 0 28 1.2
"19" 2 65 10 1 1 20 0.6
"20" 0 10 2 0 0 16 0
"21" 8 75 1 1 3 15 1.5
"22" 5 135 20 3 19 45 1.5
"23" 1 95 21 2 3 45 0.3
"24" 1 95 21 2 3 45 0.3
"25" 1 15 1 1 1 6 0.3
"26" 4 140 24 3 28 45 1.3
"27" 6 125 19 3 24 45 1.4
"28" 0 10 2 1 0 30 0
"29" 5 50 0 2 9 13 1.7
"30" 6 95 11 1 18 20 1.4
"31" 4 100 16 1 14 25 1.6
"32" 4 35 0 0 11 5 2.5
"33" 4 35 0 0 11 5 2.5
"34" 0 10 2 1 0 76 0
"35" 0 15 4 1 0 70 0
"36" 0 20 4 1 0 70 0
"37" 0 20 4 1 0 70 0
"38" 3 120 23 1 0 28.35 1.7
"39" 3 115 22 1 1 28.35 2.2
"40" 0 30 7 1 0 72 0
"41" 0 15 4 0 0 15 0
"42" 1 10 1 0 0 2 0
"43" 0 5 1 0 0 40 0
"44" 6 70 0 4 18 17 3.6
"45" 2 110 20 4 0 28.35 0.3
"46" 3 50 6 1 6 10 0.9
"47" 2 40 5 1 1 8 0.4
"48" 1 50 11 1 0 68 0.1
"49" 1 30 0 5 126 20 0.4
"50" 0 10 1 0 0 2.6 0.1
"51" 0 5 2 0 0 2.3 0
"52" 1 75 19 1 0 21 0.3
"53" 1 100 22 3 1 28.35 0.6
"54" 2 25 2 1 9 16 0.5
"55" 9 155 16 2 0 28.35 1.4
"56" 0 110 24 2 0 28.35 0
"57" 0 110 24 2 0 28.35 0
"58" 5 145 21 3 23 45 1.5
"59" 14 125 0 0 0 14 1.8
"60" 0 60 14 2 0 63 0.1
"61" 0 60 14 2 0 63 0.1
"62" 1 85 19 3 0 77 0.2
"63" 1 85 19 3 0 77 0.2
"64" 1 65 12 2 0 25 0.2
"65" 1 65 12 2 0 21 0.2
"66" 0 5 1 0 0 28 0
"67" 0 5 1 0 0 2 0
"68" 6 110 13 2 24 28.35 1.8
"69" 4 120 20 2 19 35 1.8
"70" 0 15 0 4 0 33 0
"71" 0 10 2 1 0 50 0
"72" 1 140 27 5 0 57 0.3
"73" 1 140 27 5 0 50 0.3
"74" 13 115 0 0 0 13 3.3
"75" 6 75 1 4 25 28.35 4.2
"76" 3 70 4 6 26 28 0.8
"77" 0 105 27 0 0 28.35 0
"78" 1 100 18 3 0 35 0.3
"79" 2 25 2 0 0 16 0.2
"80" 9 85 1 0 0 16 1.4
"81" 1 110 25 2 0 28.35 0.2
"82" 3 115 21 1 1 28.35 2.1
"83" 0 10 2 0 0 2.8 0
"84" 0 25 0 6 0 7 0
"85" 4 175 32 2 1 63 1.1
"86" 0 95 0 0 0 42 0
"87" 0 105 0 0 0 42 0
"88" 0 110 0 0 0 42 0
"89" 1 110 24 2 0 28.35 0.7
"90" 1 60 11 1 0 14 0.4
"91" 0 100 23 3 0 28.35 0
"92" 0 35 9 0 0 50 0.1
"93" 0 40 10 0 0 57 0.1
"94" 0 100 25 0 0 28.35 0
"95" 2 20 1 0 6 15 1.1
"96" 0 110 28 0 0 28.35 0
"97" 0 65 17 0 0 21 0
"98" 1 105 23 3 0 28.35 0.1
"99" 5 100 12 2 22 50 3.4
"100" 1 20 2 0 0 15 1.4
"101" 1 10 1 0 0 2 0.7
"102" 1 15 1 0 0 4 0.9
"103" 2 20 1 0 1 12 1.6
"104" 1 10 1 0 0 4 0.8
"105" 0 10 1 0 0 4 0.4
"106" 0 85 17 3 0 30 0
"107" 0 5 2 0 0 15 0
"108" 9 80 1 0 0 15 1.3
"109" 0 40 10 0 0 14 0
"110" 0 55 14 0 0 20 0
"111" 0 40 10 0 0 14 0
"112" 0 50 13 0 0 18 0
"113" 0 105 26 0 0 28.35 0
"114" 0 45 11 1 0 76 0
"115" 0 5 1 0 0 15 0
"116" 0 15 5 1 0 58 0
"117" 0 0 0 0 0 15 0
"118" 0 5 1 1 0 55 0
"119" 0 10 2 1 0 56 0
"120" 3 30 1 0 10 15 1.8
"121" 1 110 23 3 0 28.35 0.2
"122" 1 85 18 1 1 21 0.5
"123" 2 85 15 3 4 21 0.9
"124" 5 50 0 0 0 14 1.1
"125" 4 35 0 0 0 5 0.8
"126" 11 100 0 0 0 14 2.2
"127" 11 100 0 0 0 14 1.9
"128" 3 25 0 0 0 5 0.7
"129" 9 75 0 0 0 14 2
"130" 9 75 0 0 0 14 1.8
"131" 0 90 23 1 0 28.35 0
"132" 5 60 4 0 4 15 0.7
"133" 3 35 2 0 4 15 0.5
"134" 11 100 0 0 8 14 1.7
"135" 0 20 4 1 0 5 0.1
"136" 1 65 12 2 0 25 0.2
"137" 1 65 12 2 0 23 0.2
"138" 0 85 22 0 0 40 0
"139" 6 80 1 6 22 28.35 3.7
"140" 5 80 1 8 15 28.35 3.1
"141" 0 20 3 1 0 70 0
"142" 0 5 0 0 0 5 0
"143" 5 125 19 3 0 28.35 3.3
"144" 1 65 12 2 0 25 0.2
"145" 1 65 12 2 0 23 0.2
"146" 14 125 0 0 0 14 1.9
"147" 2 15 0 0 0 13 0.2
"148" 2 15 0 0 0 9 0.3
"149" 0 5 2 0 0 2.1 0
"150" 5 80 8 1 0 20 1.7
"151" 0 20 4 1 0 7 0.1
"152" 0 10 2 1 0 30 0
"153" 0 5 1 0 0 1.5 0
"154" 5 90 5 5 35 45 1.4
"155" 2 55 6 2 20 27 0.9
"156" 2 60 8 2 16 27 0.5
"157" 2 60 9 2 16 27 0.5
"158" 0 5 1 0 0 2.1 0
"159" 2 25 0 2 4 5 1
"160" 0 0 0 0 0 0.4 0
"161" 0 5 1 0 0 10 0
"162" 6 80 2 5 16 28.35 3.8
"163" 0 60 16 0 0 81 0
"164" 0 35 9 0 0 77 0
"165" 8 95 3 5 0 16 1.4
"166" 14 125 0 0 0 14 2.4
"167" 0 60 15 0 0 79 0
"168" 0 40 10 0 0 77 0
"169" 0 20 4 1 0 45 0
"170" 0 20 4 1 0 45 0
"171" 0 15 3 0 0 73 0
"172" 0 15 3 0 0 73 0
"173" 0 20 4 1 0 74 0
"174" 0 20 4 1 0 74 0
"175" 0 5 1 0 0 2.1 0
"176" 0 5 1 0 0 65 0
"177" 0 10 3 0 0 15 0
"178" 0 20 5 0 0 15 0
"179" 0 45 12 0 0 58 0
"180" 0 35 9 0 0 58 0
"181" 1 165 33 6 0 60 0.1
"182" 0 15 4 0 0 28 0
"183" 0 35 9 1 0 66 0
"184" 0 30 6 1 0 8 0
"185" 3 55 6 1 0 11 0.5
"186" 1 135 30 2 0 35 0.1
"187" 4 50 0 3 11 13 1.4
"188" 7 105 10 1 0 20 1.8
"189" 4 110 17 2 0 50 2.1
"190" 5 120 15 2 32 30 1.2
"191" 0 10 2 0 0 3 0
"192" 1 65 13 2 0 16 0.1
"193" 0 110 24 3 0 28.35 0
"194" 0 115 31 1 0 49 0
"195" 1 80 16 3 0 32 0.2
"196" 1 80 16 3 0 29 0.2
"197" 0 5 1 0 0 18 0
"198" 1 90 21 3 0 28.35 0.1
"199" 1 85 21 3 0 28.35 0.1
"200" 1 65 13 2 0 25 0.2
"201" 1 65 13 2 0 21 0.2
"202" 0 40 11 0 0 14 0
"203" 0 20 5 0 0 15 0
"204" 0 110 25 2 0 28.35 0
"205" 2 85 14 2 0 28 0.5
"206" 3 120 20 3 12 35 0.8
"207" 2 115 20 3 0 40 0.5
"208" 2 155 30 5 0 50 0.4
"209" 1 65 12 2 0 25 0.2
"210" 1 65 12 2 0 22 0.2
"211" 1 55 10 1 0 14 0.3
"212" 14 125 0 0 0 14 1.3
"213" 7 85 1 5 16 20 2.4
"214" 0 0 0 0 0 5.5 0
"215" 1 50 9 1 4 12 0.5
"216" 3 35 2 1 6 15 0.9
"217" 0 10 3 0 0 28.35 0.1
"218" 4 45 1 2 0 8 0.6
"219" 8 145 17 2 0 28 1.3
"220" 1 100 23 3 0 28.35 0.1
"221" 4 105 17 1 15 28 1.7
"222" 5 155 27 1 7 42 2.3
"223" 1 15 2 0 0 3 0.2
"224" 3 25 1 0 5 12 1.6
"225" 0 10 2 2 0 18 0
"226" 14 125 0 0 0 14 2.5
